id_linea,id_orden,fecha_orden,pais,canal,segmento_cliente,rating_cliente,categoria,subcategoria,marca,proveedor,vendedor,metodo_pago,promocion,prioridad_envio,cantidad,precio_unitario,descuento_pct,costo_unitario,tipo_cambio_gtq,venta_neta_gtq,margen_gtq,dias_entrega,entrega_tardia,stock_disponible,dias_reposicion_proveedor,devuelto
ORD-2024-000008-01,ORD-2024-000008,2025-09-13,El Salvador,Retail,Minorista,2.0,Oficina,Mobiliario,ErgoPro,OficinaTotal,María García,Transferencia,Sin promo,Programado,4.0,218.39,0.05,137.3,7.818,6488.0175,2095.0833,5.0,1,248,10,0
ORD-2024-000008-02,ORD-2024-000008,2025-09-13,El Salvador,Retail,Minorista,2.0,Tecnología,Accesorios,Redragon,GlobalTech,María García,Transferencia,Sin promo,Programado,1.0,61.23,0.03,36.96,7.818,464.3353,107.9908,5.0,1,52,14,0
ORD-2024-000008-03,ORD-2024-000008,2025-09-13,El Salvador,Retail,Minorista,2.0,oficina,Herramientas,OfficeLab,OficinaTotal,,Transferencia,Sin promo,Programado,3.0,66.39,0.0,39.81,7.818,1557.1111,540.3802,5.0,1,211,14,0
ORD-2025-000009-02,ORD-2025-000009,2024-06-28,Guatemala,Empresa,Minorista,3.0,Deportes,FITNESS,FitPro,SportMax,Valeria Ramos,Transferencia,Sin promo,Normal,6.0,1346.96,0.03,862.02,0.9863,7731.9087,2576.8342,0.0,0,7,3,0
ORD-2024-000010-01,ORD-2024-000010,2025-03-27,Guatemala,Corporativo, Mayorista ,2.0,oficina,Herramientas,OfficeLab,OficinaTotal,Valeria Ramos,Crédito 60 días,2x1,Normal,25.0,526.59,0.29,314.55,1.0,9346.9725,1446.1125,9.0,0,4,10,0
ORD-2025-000011-01,ORD-2025-000011,2025-08-18,Guatemala,b2b ,Minorista,5.0,Oficina,Papelería,OfficeLab,Distribuciones Norte,Carlos Méndez,Tarjeta,Sin promo,Normal,15.0,161.83,0.1,95.58,0.9983,2180.991,639.2165,3.0,0,201,5,0
ORD-2025-000011-02,ORD-2025-000011,2025-08-18,Guatemala,b2b ,Minorista,5.0,Oficina,Archivo,MetalWorks,Distribuciones Norte,Carlos Méndez,Tarjeta,Sin promo,Normal,6.0,1007.09,0.15,632.78,0.9983,5127.4275,1272.522,3.0,0,157,7,0
ORD-2024-000012-01,ORD-2024-000012,2025-08-06,Honduras,Mayorista,Minorista,5.0,Hogar,CLIMATIZACIÓN,Xiaomi,GlobalTech,Luis Torres,Crédito 60 días,Bundle,Normal,8.0,3961.99,0.05,2823.72,0.3182,9581.3597,2246.7542,14.0,0,85,3,0
ORD-2024-000012-02,ORD-2024-000012,2025-08-06,Honduras,Mayorista,Minorista,5.0,Tecnología,Accesorios,Logitech,GlobalTech,Luis Torres,Crédito 60 días,Bundle,Normal,3.0,1693.11,0.25,1016.38,0.3182,1212.1821,185.4907,14.0,0,145,7,0
ORD-2024-000012-03,ORD-2024-000012,2025-08-06,Honduras,Mayorista,Minorista,5.0,Alimentos,Bebidas,Monster,AgroExport,Luis Torres,Crédito 60 días,Bundle,Normal,12.0,645.0,0.08,394.12,0.3182,2265.8386,687.3311,14.0,0,135,5,0
ORD-2025-000013-01,ORD-2025-000013,2024-12-14,Honduras,B2B,Minorista,5.0,Belleza,Cuidado personal,Rexona,Distribuciones Norte,José Pérez,Transferencia,Bundle,Normal,28.0,235.22,0.16,143.95,0.3142,1738.272,304.6214,7.0,1,249,14,0
ORD-2025-000013-02,ORD-2025-000013,2024-12-14,Honduras,B2B,Minorista,5.0,Alimentos,Snacks,Lindt,Importadora Sur,José Pérez,Transferencia,Bundle,Normal,10.0,463.41,0.05,280.33,0.3142,1383.2325,353.6431,7.0,1,221,3,0
ORD-2024-000014-01,ORD-2024-000014,2025-08-22,Guatemala,RETAIL,Corporativo,2.0,Deportes,Calzado,Nike,SportMax,María García,Crédito 60 días,Sin promo,Normal,8.0,935.87,0.05,623.33,0.9901,7042.1971,2003.3604,13.0,0,25,21,0
ORD-2024-000014-02,ORD-2024-000014,2025-08-22,Guatemala,RETAIL,Corporativo,2.0,Belleza,Fragancias,Armani,Importadora Sur,María García,Crédito 60 días,Sin promo,Normal,21.0,834.79,0.08,610.28,0.9901,15968.4742,3200.808,13.0,0,198,7,0
ORD-2024-000014-03,ORD-2024-000014,2025-08-22,Guatemala,RETAIL,Corporativo,2.0,Oficina,Archivo,MetalWorks,Distribuciones Norte,María García,Crédito 60 días,Sin promo,Normal,9.0,1009.92,0.0,631.06,0.9901,8999.2961,3234.6567,13.0,0,194,5,0
ORD-2025-000015-01,ORD-2025-000015,2024-07-28,Guatemala,Mayorista,Corporativo,5.0,Belleza,Cuidado personal,Rexona,Distribuciones Norte,,Efectivo,Liquidación,Express,9.0,74.82,0.23,44.65,0.9866,511.5547,46.3432,17.0,1,137,10,0
ORD-2024-000016-01,ORD-2024-000016,2025-09-27,Guatemala,Distribuidor,Mayorista,2.0,Belleza,Fragancias,Armani,Importadora Sur,Valeria Ramos,Tarjeta,Descuento volumen,Normal,6.0,870.43,0.05,579.21,1.0073,4997.6696,1418.6924,14.0,0,122,21,0
ORD-2025-000017-01,ORD-2025-000017,2024-05-01,Costa Rica,tienda fisica,Premium,1.0,Deportes,Calzado,Nike,SportMax,Diego Castillo,Crédito 30 días,Cyberweek,Normal,2.0,65877.97,0.05,40866.76,0.0148,1852.4885,582.3652,17.0,1,84,30,0
ORD-2024-000018-01,ORD-2024-000018,2024-12-14,Guatemala, wholesale ,Corporativo,3.0,Alimentos,Bebidas,Antigua Beans,AgroExport,Valeria Ramos,Transferencia,Liquidación,Normal,8.0,138.37,0.05,83.72,0.9923,1043.5146,237.8761,11.0,1,20,30,0
ORD-2024-000018-02,ORD-2024-000018,2024-12-14,Guatemala, wholesale ,Corporativo,3.0,Tecnología,Accesorios,Redragon,GlobalTech,Valeria Ramos,Transferencia,Liquidación,Normal,4.0,490.76,0.13,284.68,0.9923,1694.6944,440.9134,11.0,1,228,3,0
ORD-2025-000019-01,ORD-2025-000019,2025-11-18,El Salvador, wholesale ,Corporativo,5.0,Belleza,Cuidado capilar,Dove,BeautyCorp,Diego Castillo,Crédito 60 días,Cyberweek,Express,40.0,8.03,0.27,4.63,7.9248,1858.1754,140.158,3.0,1,232,5,0
ORD-2025-000019-02,ORD-2025-000019,2025-11-18,El Salvador, wholesale ,Corporativo,5.0,Alimentos,Despensa,Kellogg's,Distribuciones Norte,Diego Castillo,Crédito 60 días,Cyberweek,Express,4.0,10.12,0.16,6.02,7.9248,269.4686,4.9387,3.0,1,85,10,0
ORD-2025-000019-03,ORD-2025-000019,2025-11-18,El Salvador, wholesale ,Corporativo,5.0,Oficina,Mobiliario,FlexDesk,OficinaTotal,Diego Castillo,Crédito 60 días,Cyberweek,Express,5.0,346.42,0.16,244.58,7.9248,11530.2987,1729.857,3.0,1,164,10,0
ORD-2025-000019-04,ORD-2025-000019,2025-11-18,El Salvador, wholesale ,Corporativo,5.0,Tecnología,Impresoras,HP,TecnoMundo,Diego Castillo,Crédito 60 días,Cyberweek,Express,6.0,281.32,0.13,191.14,7.9248,11637.4927,2465.4877,3.0,1,211,7,0
ORD-2025-000019-05,ORD-2025-000019,2025-11-18,El Salvador, wholesale ,Corporativo,5.0,Tecnología,Monitores,Dell,TecnoMundo,Diego Castillo,Crédito 60 días,Cyberweek,Express,15.0,188.77,0.08,129.54,7.9248,20644.31,5176.6854,3.0,1,127,7,0
ORD-2024-000020-01,ORD-2024-000020,2025-10-12,El Salvador,Tienda física,Minorista,4.0,Deportes,Calzado,Nike,SportMax,,Crédito 30 días,Descuento volumen,Normal,3.0,119.37,0.18,78.22,7.8573,2307.2977,411.1741,3.0,0,177,7,0
ORD-2024-000020-02,ORD-2024-000020,2025-10-12,El Salvador,Tienda física,Minorista,4.0,Hogar,Limpieza,Samsung,CasaPlus,,Crédito 30 días,Descuento volumen,Normal,1.0,217.27,0.25,158.46,7.8573,1280.3667,3.7126,3.0,0,248,3,0
ORD-2024-000020-03,ORD-2024-000020,2025-10-12,El Salvador,Tienda física,Minorista,4.0,Deportes,FITNESS,FitPro,SportMax,,Crédito 30 días,Descuento volumen,Normal,7.0,164.5,0.2,107.42,7.8573,7238.1448,1255.5965,3.0,0,24,14,0
ORD-2024-000020-04,ORD-2024-000020,2025-10-12,El Salvador,Tienda física,Minorista,4.0,Oficina,Mobiliario,FlexDesk,OficinaTotal,,Crédito 30 días,Descuento volumen,Normal,2.0,48.78,0.08,29.42,7.8573,705.2335,188.4589,3.0,0,134,14,0
ORD-2024-000020-05,ORD-2024-000020,2025-10-12,El Salvador,Tienda física,Minorista,4.0,Tecnología,Laptops,Lenovo,TecnoMundo,,Crédito 30 días,Descuento volumen,Normal,3.0,766.4,0.08,995.43,7.8573,16620.2638,-6862.4558,3.0,0,115,10,0
ORD-2025-000021-01,ORD-2025-000021,2024-04-14,Guatemala,distribuidor,Minorista,2.0,Hogar,Cocina,Tramontina,Distribuciones Norte,Luis Torres,Tarjeta,Sin promo,Normal,8.0,439.68,0.05,250.18,1.015,3391.6915,1214.4353,7.0,0,9,7,0
ORD-2025-000021-02,ORD-2025-000021,2024-04-14,Guatemala,distribuidor,Minorista,2.0,Alimentos,Bebidas,Antigua Beans,AgroExport,Luis Torres,Tarjeta,Sin promo,Normal,5.0,130.75,0.0,80.64,1.015,663.5562,225.5939,7.0,0,233,21,0
ORD-2024-000022-01,ORD-2024-000022,2025-07-13,Guatemala,Tienda física,Mayorista,3.0,Hogar,Cocina,Tramontina,Distribuciones Norte,José Pérez,Transferencia,Sin promo,Normal,9.0,429.52,0.08,257.74,1.0077,3583.8101,1154.4469,10.0,1,115,3,0
ORD-2024-000022-02,ORD-2024-000022,2025-07-13,Guatemala,Tienda física,Mayorista,3.0,Oficina,Mobiliario,ErgoPro,OficinaTotal,José Pérez,Transferencia,Sin promo,Normal,5.0,1594.98,0.05,1064.72,1.0077,7634.4914,2230.3878,10.0,1,191,21,0
ORD-2025-000023-01,ORD-2025-000023,2024-03-13,Guatemala,Mayorista,Gobierno,5.0,Alimentos,Despensa,Kellogg's,Distribuciones Norte,,Transferencia,Sin promo,Programado,3.0,79.16,0.0,46.14,1.011,240.0923,60.2455,5.0,0,121,5,0
ORD-2024-000024-01,ORD-2024-000024,2024-05-26,guatemala,B2B,Premium,2.0,Alimentos,Bebidas,Monster,AgroExport,,Crédito 60 días,Sin promo,Express,9.0,213.04,0.1,130.17,0.992,1711.819,393.2129,7.0,0,129,30,0
ORD-2024-000024-02,ORD-2024-000024,2024-05-26,Guatemala,B2B,Premium,2.0,Hogar,Electrodomésticos,Ninja,CasaPlus,,Crédito 60 días,Sin promo,Express,8.0,859.72,0.12,557.36,0.992,6004.0094,1535.3866,7.0,0,131,7,0
ORD-2025-000025-01,ORD-2025-000025,2024-10-29,Honduras, retail,Gobierno,2.0,Hogar,Electrodomésticos,Ninja,CasaPlus,Sofía Herrera,PayPal,Sin promo,Programado,6.0,2643.72,0.15,1705.75,0.319,4301.0681,906.2222,19.0,1,159,7,0
ORD-2025-000025-02,ORD-2025-000025,2024-10-29,Honduras, retail,Gobierno,2.0,Tecnología,Accesorios,Redragon,GlobalTech,Sofía Herrera,PayPal,Sin promo,Programado,5.0,1494.85,0.05,908.26,0.319,2265.0715,701.1708,19.0,1,212,5,0
ORD-2024-000026-01,ORD-2024-000026,2025-06-29,Honduras,Corporativo,Premium,1.0,Tecnología,Accesorios,Logitech,GlobalTech,Diego Castillo,Efectivo,Descuento volumen,Normal,5.0,1692.98,0.13,1038.04,0.318,2341.8992,588.5108,11.0,1,218,21,0
ORD-2024-000026-02,ORD-2024-000026,2025-06-29,Honduras,Corporativo,Premium,1.0,Oficina,Mobiliario,ErgoPro,OficinaTotal,Diego Castillo,Efectivo,Descuento volumen,Normal,8.0,5129.2,0.25,3348.04,0.318,9786.5136,1224.8978,11.0,1,183,3,0
ORD-2025-000027-01,ORD-2025-000027,2025-11-10,Guatemala,distribuidor,Gobierno,2.0,Belleza, Skincare ,Banana Boat,BeautyCorp,Carlos Méndez,PayPal,Sin promo,Normal,16.0,152.01,0.0,93.33,1.0039,2441.6454,809.4345,3.0,1,63,10,0
ORD-2025-000027-02,ORD-2025-000027,2025-11-10,Guatemala,distribuidor,Gobierno,2.0,Tecnología,Accesorios,Logitech,GlobalTech,Carlos Méndez,PayPal,Sin promo,Normal,6.0,536.63,0.05,330.25,1.0039,3070.7203,1004.4732,3.0,1,56,3,0
ORD-2024-000028-01,ORD-2024-000028,2025-06-21,Guatemala,Empresa,Minorista,5.0,Deportes,Natación,Speedo,SportMax,Ana López,Transferencia,Cyberweek,Normal,12.0,375.18,0.1,228.35,1.0161,4117.1803,1267.9953,3.0,0,123,10,0
ORD-2025-000029-01,ORD-2025-000029,2024-10-21,Guatemala,Web,Minorista,,Belleza,Fragancias,Armani,Importadora Sur,María García,Crédito 30 días,Sin promo,Programado,9.0,837.02,0.15,609.71,0.9942,6366.0644,881.9677,5.0,0,77,5,1
ORD-2025-000029-02,ORD-2025-000029,2024-10-21,Guatemala,Web,Minorista,,Alimentos,Despensa,Kellogg's,Distribuciones Norte,María García,Crédito 30 días,Sin promo,Programado,1.0,80.1,0.0,110.42,0.9942,79.6354,-97.0041,5.0,0,91,5,1
ORD-2024-000030-01,ORD-2024-000030,2024-07-04,Guatemala,Corporativo,Gobierno,1.0,Deportes,FITNESS,FitPro,SportMax,Valeria Ramos,Transferencia,Cyberweek,Normal,30.0,1346.02,0.07,835.48,0.9973,37452.5623,12221.8896,5.0,1,67,7,0
ORD-2024-000030-02,ORD-2024-000030,2024-07-04,Guatemala,Corporativo,Gobierno,1.0,Oficina,Archivo,MetalWorks,Distribuciones Norte,Valeria Ramos,Transferencia,Cyberweek,Normal,6.0,962.03,0.23,657.11,0.9973,4432.5782,391.0499,5.0,1,137,3,0
ORD-2024-000030-03,ORD-2024-000030,2024-07-04,Guatemala,Corporativo,Gobierno,1.0,Hogar,Cocina,Tramontina,Distribuciones Norte,Valeria Ramos,Transferencia,Cyberweek,Normal,16.0,432.93,0.06,259.79,0.9973,6493.6868,2228.7732,5.0,1,12,21,0
ORD-2025-000031-01,ORD-2025-000031,2025-07-26,Guatemala,Corporativo,Premium,4.0,Oficina,Mobiliario,FlexDesk,OficinaTotal,,Transferencia,Cyberweek,Normal,2.0,2717.71,0.2,1945.87,1.0115,4398.3419,377.599,4.0,0,130,14,0
ORD-2024-000032-01,ORD-2024-000032,2024-10-12,El Salvador,Retail,Minorista,4.0,Deportes,CICLISMO,Giant,Importadora Sur,Diego Castillo,PayPal,Sin promo,Express,1.0,529.9,0.0,401.08,7.9216,4197.6558,941.0861,16.0,1,7,7,0
ORD-2025-000033-01,ORD-2025-000033,2025-10-27,Guatemala,Tienda física,corporativo,1.0,Hogar,Limpieza,Samsung,CasaPlus,Luis Torres,Crédito 30 días,Sin promo,Normal,12.0,1817.87,0.05,1265.0,0.9956,20632.5336,5490.9809,4.0,1,236,14,0
ORD-2025-000033-02,ORD-2025-000033,2025-10-27,Guatemala,Tienda física,corporativo,1.0,Tecnología,Monitores,Dell,TecnoMundo,Luis Torres,Crédito 30 días,Sin promo,Normal,10.0,1474.81,0.15,1000.96,0.9956,12480.7271,2428.3829,4.0,1,113,10,0
ORD-2024-000034-01,ORD-2024-000034,2025-10-28,honduras, retail,Corporativo,,Tecnología,Accesorios,Logitech,GlobalTech,Carlos Méndez,Crédito 60 días,Sin promo,Normal,10.0,1710.85,0.08,1067.86,0.3151,4959.6173,1517.8682,,0,14,21,0
ORD-2024-000034-02,ORD-2024-000034,2025-10-28,Honduras, retail,Corporativo,,Hogar,CLIMATIZACIÓN,Xiaomi,GlobalTech,Carlos Méndez,Crédito 60 días,Sin promo,Normal,5.0,3932.64,0.0,2811.48,0.3151,6195.8743,1693.9114,,0,46,21,0
ORD-2024-000034-03,ORD-2024-000034,2025-10-28,Honduras, retail,Corporativo,,Belleza, Skincare ,Banana Boat,BeautyCorp,Carlos Méndez,Crédito 60 días,Sin promo,Normal,25.0,503.26,0.11,300.87,0.3151,3528.3433,1077.1489,,0,13,14,0
ORD-2024-000034-04,ORD-2024-000034,2025-10-28,Honduras, retail,Corporativo,,Deportes,FITNESS,FitPro,SportMax,Carlos Méndez,Crédito 60 días,Sin promo,Normal,12.0,4079.09,0.2,2674.2,0.3151,12339.0841,2173.1892,,0,41,30,0
ORD-2024-000034-05,ORD-2024-000034,2025-10-28,Honduras, retail,Corporativo,,Belleza,Cuidado personal,Rexona,Distribuciones Norte,Carlos Méndez,Crédito 60 días,Sin promo,Normal,18.0,229.72,0.03,139.74,0.3151,1263.8381,332.1032,,0,14,21,0
ORD-2025-000035-01,ORD-2025-000035,2024-04-19,El Salvador,Online,Corporativo,,Tecnología,Laptops,Lenovo,TecnoMundo,Valeria Ramos,Tarjeta,Cyberweek,Normal,4.0,741.71,0.03,552.04,7.8989,22731.7293,5188.8253,,0,119,10,0
ORD-2025-000035-02,ORD-2025-000035,2024-04-19,El Salvador,Online,Corporativo,,Belleza,Fragancias,Armani,Importadora Sur,Valeria Ramos,Tarjeta,Cyberweek,Normal,28.0,106.77,0.12,73.91,7.8989,20780.5272,4226.2496,,0,245,5,0
ORD-2024-000036-01,ORD-2024-000036,2024-11-30,Guatemala,Retail,Corporativo,2.0,Belleza,Fragancias,Armani,Importadora Sur,José Pérez,Efectivo,Sin promo,Normal,5.0,838.57,0.0,607.69,1.0081,4226.8121,1097.7806,2.0,0,141,5,0
ORD-2024-000036-02,ORD-2024-000036,2024-11-30,Guatemala,Retail,Corporativo,2.0,Hogar,Electrodomésticos,Ninja,CasaPlus,José Pérez,Efectivo,Sin promo,Normal,4.0,818.8,0.15,539.6,1.0081,2806.4698,517.5283,2.0,0,183,14,0
ORD-2025-000037-01,ORD-2025-000037,2024-10-06,El Salvador,Marketplace,Minorista,2.0,Oficina,Mobiliario,ErgoPro,OficinaTotal,José Pérez,PayPal,Bundle,Normal,3.0,208.02,0.1,139.05,7.7393,4346.8088,1038.7224,,0,91,30,0
ORD-2025-000037-02,ORD-2025-000037,2024-10-06,El Salvador,Marketplace,Minorista,2.0,Hogar,Cocina,Tramontina,Distribuciones Norte,José Pérez,PayPal,Bundle,Normal,3.0,53.96,0.2,34.13,7.7393,1002.2703,130.3608,,0,226,21,0
ORD-2025-000037-03,ORD-2025-000037,2024-10-06,El Salvador,Marketplace,Minorista,2.0,Alimentos,Bebidas,Antigua Beans,AgroExport,,PayPal,Bundle,Normal,3.0,16.98,0.08,10.61,7.7393,362.7007,24.8803,,0,207,3,0
ORD-2025-000037-04,ORD-2025-000037,2024-10-06,El Salvador,Marketplace,Minorista,2.0,Alimentos,Despensa,Kellogg's,Distribuciones Norte,José Pérez,PayPal,Bundle,Normal,1.0,9.88,0.06,6.18,7.7393,71.8764,1.1392,,0,2,10,0
ORD-2025-000037-05,ORD-2025-000037,2024-10-06,El Salvador,Marketplace,Minorista,2.0,Hogar,CLIMATIZACIÓN,Xiaomi,GlobalTech,José Pérez,PayPal,Bundle,Normal,3.0,160.23,0.15,113.97,7.7393,3162.1735,493.895,,0,105,10,0
ORD-2024-000038-01,ORD-2024-000038,2025-07-19,Guatemala,b2b ,Minorista,3.0,Hogar,Cocina,Tramontina,Distribuciones Norte,Diego Castillo,Tarjeta,Cyberweek,Programado,45.0,440.47,0.27,261.33,0.989,14310.2757,2573.9808,3.0,0,34,10,0
ORD-2025-000039-01,ORD-2025-000039,2024-10-15,Guatemala,Retail,Corporativo,3.0,Alimentos,Bebidas,Antigua Beans,AgroExport,Carlos Méndez,PayPal,Sin promo,Normal,3.0,135.24,0.15,81.57,0.9981,344.2068,-4.2499,-3.0,0,124,3,0
ORD-2025-000039-02,ORD-2025-000039,2024-10-15,Guatemala,Retail,Corporativo,3.0,Oficina,Mobiliario,ErgoPro,OficinaTotal,Carlos Méndez,PayPal,Sin promo,Normal,12.0,1646.58,0.0,1083.9,0.9981,19721.418,6686.5613,-3.0,0,71,5,0
ORD-2024-000040-01,ORD-2024-000040,2024-03-03,Guatemala,Online,Minorista,,Tecnología,Monitores,Dell,TecnoMundo,Valeria Ramos,PayPal,Descuento volumen,Normal,1.0,1432.77,0.16,1022.77,1.004,1208.3409,141.3098,3.0,1,153,30,0
ORD-2024-000040-02,ORD-2024-000040,2024-03-03,Guatemala,Online,Minorista,,Deportes,FITNESS,FitPro,SportMax,Valeria Ramos,PayPal,Descuento volumen,Normal,4.0,1276.61,0.13,827.96,1.004,4460.3732,1056.502,3.0,1,178,21,0
ORD-2024-000040-03,ORD-2024-000040,2024-03-03,Guatemala,Online,Minorista,,Tecnología,Laptops,Lenovo,TecnoMundo,Valeria Ramos,PayPal,Descuento volumen,Normal,5.0,6074.47,0.05,4515.55,1.004,28969.1474,6199.0399,3.0,1,14,3,0
ORD-2024-000040-04,ORD-2024-000040,2024-03-03,Guatemala,Online,Minorista,,Belleza,Fragancias,Armani,Importadora Sur,Valeria Ramos,PayPal,Descuento volumen,Normal,3.0,826.35,0.05,599.23,1.004,2364.5179,476.7469,3.0,1,140,14,0
ORD-2024-000042-01,ORD-2024-000042,2024-08-24,Guatemala,Empresa,Minorista,4.0,Deportes,CICLISMO,Giant,Importadora Sur,Sofía Herrera,Tarjeta,Descuento volumen,Normal,15.0,4037.3,0.2,3108.34,1.0151,49179.1588,1792.3316,9.0,1,206,30,0
ORD-2025-000043-01,ORD-2025-000043,2025-10-19,El Salvador,mercado externo, Minorista ,2.0,Tecnología,Accesorios,Redragon,GlobalTech,Valeria Ramos,Crédito 60 días,Descuento volumen,Programado,2.0,61.8,0.08,35.56,7.8806,896.1188,235.9609,6.0,0,89,10,0
ORD-2025-000043-02,ORD-2025-000043,2025-10-19,El Salvador,mercado externo, Minorista ,2.0,oficina,Herramientas,OfficeLab,OficinaTotal,Valeria Ramos,Crédito 60 días,Descuento volumen,Programado,4.0,65.04,0.08,40.09,7.8806,1886.1995,523.0922,6.0,0,209,30,0
ORD-2025-000043-03,ORD-2025-000043,2025-10-19, El Salvador ,mercado externo, Minorista ,2.0,Belleza, Skincare ,Banana Boat,BeautyCorp,Valeria Ramos,Crédito 60 días,Descuento volumen,Programado,5.0,19.85,0.13,11.71,7.8806,680.4701,195.3404,6.0,0,73,30,0
ORD-2025-000043-04,ORD-2025-000043,2025-10-19,El Salvador,mercado externo, Minorista ,2.0,Alimentos,Snacks,Lindt,Importadora Sur,Valeria Ramos,Crédito 60 días,Descuento volumen,Programado,3.0,18.49,0.05,11.3,7.8806,415.28,111.8769,6.0,0,172,7,0
ORD-2024-000044-01,ORD-2024-000044,2025-03-28,Guatemala, retail,Mayorista,4.0,Belleza,Cuidado personal,Rexona,Distribuciones Norte,Carlos Méndez,Tarjeta,Sin promo,Normal,6.0,73.12,0.05,45.68,0.9967,415.4086,99.056,11.0,1,232,3,0
ORD-2024-000044-02,ORD-2024-000044,2025-03-28,Guatemala, retail,Mayorista,4.0,Tecnología,Impresoras,HP,TecnoMundo,Carlos Méndez,Tarjeta,Sin promo,Normal,10.0,2227.73,0.08,1574.55,0.9967,20427.4821,4595.3611,11.0,1,248,5,0
ORD-2025-000045-01,ORD-2025-000045,2024-12-26,Guatemala,Distribuidor,Corporativo,2.0,Deportes,FITNESS,FitPro,SportMax,Ana López,Efectivo,Sin promo,Normal,18.0,1327.69,0.15,862.32,0.9958,20228.3396,4736.7288,8.0,1,74,5,0
